normalized_event_id,book_id,start_scene_id,end_scene_id,event_label,event_type,participant_entity_ids,participant_roles,continuity_group_id,source_span,source_quote,evidence_status,canonical_status,review_status,review_rationale
N-EVT-B03-C10-S01-001,B03,B03-C10-S01,B03-C10-S01,Jonah and Margot arrive at the fortified ridge cabin,arrival,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0015,Jonah:host;Margot:refugee;Cabin:destination,CABIN-REFUGE,B03-C10-S01,Arrival at fortified cabin,event-specific-candidate,candidate,scaled-batch-v1.0,Establishes a temporary secure base.
N-EVT-B03-C10-S01-002,B03,B03-C10-S01,B03-C10-S01,Jonah explains the cabin's wards and isolation,security_disclosure,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0015,Jonah:speaker;Margot:recipient;Cabin:subject,CABIN-REFUGE,B03-C10-S01,Jonah explains wards and isolation,event-specific-candidate,candidate,scaled-batch-v1.0,Defines the refuge's protections and limitations.
N-EVT-B03-C10-S01-003,B03,B03-C10-S01,B03-C10-S01,Margot acknowledges that her apartment and former life are gone,loss_recognition,ENT-CHAR-0002;ENT-CHAR-0001,Margot:knower;Jonah:witness,DISPLACEMENT,B03-C10-S01,her apartment and former life are gone,event-specific-candidate,candidate,scaled-batch-v1.0,Creates explicit displacement state.
N-EVT-B03-C10-S01-004,B03,B03-C10-S01,B03-C10-S01,"Jonah gives Margot clothes, shelter, and access to the cabin",resource_transfer,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0015,Jonah:provider;Margot:recipient;Cabin:refuge,CABIN-REFUGE,B03-C10-S01,"gives Margot clothes, shelter, and access",event-specific-candidate,candidate,scaled-batch-v1.0,Transfers immediate survival resources.
N-EVT-B03-C10-S01-005,B03,B03-C10-S01,B03-C10-S01,Margot begins showering and physical recovery,recovery_action,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0015,Margot:recovering;Jonah:protector;Cabin:safe-space,CABIN-REFUGE,B03-C10-S01,shower and recovery begin,event-specific-candidate,candidate,scaled-batch-v1.0,Begins decompression from escape.
N-EVT-B03-C10-S02-001,B03,B03-C10-S02,B03-C10-S02,Jonah arms and secures the cabin,defensive_preparation,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0015,Jonah:actor;Margot:protected;Cabin:defended-location,CABIN-DEFENSE,B03-C10-S02,Jonah arms the cabin,event-specific-candidate,candidate,scaled-batch-v1.0,Shifts refuge into defensive posture.
N-EVT-B03-C10-S02-002,B03,B03-C10-S02,B03-C10-S02,Margot emerges wearing Jonah's clothes,relationship_signal,ENT-CHAR-0002;ENT-CHAR-0001,Margot:actor;Jonah:observer,RELATIONSHIP-ESCALATION,B03-C10-S02,Margot emerges in his clothes,event-specific-candidate,candidate,scaled-batch-v1.0,Signals intimacy and temporary domesticity.
N-EVT-B03-C10-S02-003,B03,B03-C10-S02,B03-C10-S02,Jonah and Margot discuss their fugitive status and immediate options,planning_discussion,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:planner;Margot:planner,CABIN-REFUGE,B03-C10-S02,coffee and fugitive discussion,event-specific-candidate,candidate,scaled-batch-v1.0,Aligns their understanding of danger.
N-EVT-B03-C10-S02-004,B03,B03-C10-S02,B03-C10-S02,Margot asks whether they face the future together,relationship_question,ENT-CHAR-0002;ENT-CHAR-0001,Margot:asker;Jonah:recipient,RELATIONSHIP-COMMITMENT,B03-C10-S02,whether they face the future together,event-specific-candidate,candidate,scaled-batch-v1.0,Forces explicit relationship choice.
N-EVT-B03-C10-S02-005,B03,B03-C10-S02,B03-C10-S02,Jonah commits to facing the future with Margot,relationship_commitment,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:committer;Margot:recipient,RELATIONSHIP-COMMITMENT,B03-C10-S02,Jonah says yes,event-specific-candidate,candidate,scaled-batch-v1.0,Creates explicit joint-action commitment.
