normalized_event_id,book_id,start_scene_id,end_scene_id,event_label,event_type,participant_entity_ids,participant_roles,continuity_group_id,source_span,source_quote,evidence_status,canonical_status,review_status,review_rationale
N-EVT-B03-C13-S01-001,B03,B03-C13-S01,B03-C13-S01,Jonah shifts back,transformation,ENT-CHAR-0001,Jonah Harrow:participant,JONAH-INJURY,B03-C13-S01,Jonah shifts back,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; granularity-review
N-EVT-B03-C13-S01-002,B03,B03-C13-S01,B03-C13-S01,Margot gives him his clothes,narrative_action,ENT-CHAR-0001;ENT-CHAR-0002,Jonah Harrow:participant;Margot Vance:participant,CH13-LOCAL-SEQUENCE,B03-C13-S01,Margot gives him his clothes,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C13-S01-003,B03,B03-C13-S01,B03-C13-S01,he explains Alpha combat form and the danger of remaining full wolf,disclosure,ENT-CHAR-0001;ENT-STATE-0002,Jonah Harrow:participant;Jonah's Wolf:participant,CH13-LOCAL-SEQUENCE,B03-C13-S01,he explains Alpha combat form and the danger of remaining full wolf,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; continuity-group-local
N-EVT-B03-C13-S01-004,B03,B03-C13-S01,B03-C13-S01,they confirm temporary safety,narrative_action,ENT-CHAR-0001,Jonah Harrow:participant,CH13-LOCAL-SEQUENCE,B03-C13-S01,they confirm temporary safety,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C13-S02-001,B03,B03-C13-S02,B03-C13-S02,Jonah explains the Undercity,disclosure,ENT-CHAR-0002;ENT-CHAR-0001,Margot Vance:participant;Jonah Harrow:participant,JONAH-INJURY,B03-C13-S02,Jonah explains the Undercity,scene-ledger-event-specific,candidate,scaled-reviewed-v1.0,Derived from author-ratified scene ledger major event; no remaining review flag.
N-EVT-B03-C13-S02-002,B03,B03-C13-S02,B03-C13-S02,they enter the Hive,narrative_action,ENT-CHAR-0002;ENT-CHAR-0001,Margot Vance:participant;Jonah Harrow:participant,CH13-LOCAL-SEQUENCE,B03-C13-S02,they enter the Hive,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C13-S02-003,B03,B03-C13-S02,B03-C13-S02,Iron-Jaw confronts them,narrative_action,ENT-CHAR-0002;ENT-CHAR-0001;ENT-CHAR-0013,Margot Vance:participant;Jonah Harrow:participant;Iron-Jaw:participant,CH13-LOCAL-SEQUENCE,B03-C13-S02,Iron-Jaw confronts them,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; granularity-review, type-review, continuity-group-local"
N-EVT-B03-C13-S02-004,B03,B03-C13-S02,B03-C13-S02,Margot is identified as the Keeper,narrative_action,ENT-CHAR-0001;ENT-CHAR-0002,Jonah Harrow:participant;Margot Vance:participant,CH13-LOCAL-SEQUENCE,B03-C13-S02,Margot is identified as the Keeper,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C13-S02-005,B03,B03-C13-S02,B03-C13-S02,news of the riot and Pack blockade is delivered,narrative_action,ENT-CHAR-0002;ENT-CHAR-0001;ENT-GROUP-0002,Margot Vance:participant;Jonah Harrow:participant;Snowfall Creek Werewolf Pack:participant,TOWN-HALL-UPRISING,B03-C13-S02,news of the riot and Pack blockade is delivered,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; type-review
N-EVT-B03-C13-S02-006,B03,B03-C13-S02,B03-C13-S02,Iron-Jaw provides the route,narrative_action,ENT-CHAR-0002;ENT-CHAR-0001;ENT-CHAR-0013,Margot Vance:participant;Jonah Harrow:participant;Iron-Jaw:participant,CH13-LOCAL-SEQUENCE,B03-C13-S02,Iron-Jaw provides the route,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C13-S03-001,B03,B03-C13-S03,B03-C13-S03,They discuss Pack loyalty and hope,narrative_action,ENT-CHAR-0002;ENT-GROUP-0002,Margot Vance:participant;Snowfall Creek Werewolf Pack:participant,CH13-LOCAL-SEQUENCE,B03-C13-S03,They discuss Pack loyalty and hope,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C13-S03-002,B03,B03-C13-S03,B03-C13-S03,Jonah identifies the pressure-release timing,discovery,ENT-CHAR-0002;ENT-CHAR-0001,Margot Vance:participant;Jonah Harrow:participant,JONAH-INJURY,B03-C13-S03,Jonah identifies the pressure-release timing,scene-ledger-event-specific,candidate,scaled-reviewed-v1.0,Derived from author-ratified scene ledger major event; no remaining review flag.
N-EVT-B03-C13-S03-003,B03,B03-C13-S03,B03-C13-S03,Margot asks for the Wolf,narrative_action,ENT-CHAR-0002;ENT-STATE-0002,Margot Vance:participant;Jonah's Wolf:participant,CH13-LOCAL-SEQUENCE,B03-C13-S03,Margot asks for the Wolf,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C13-S03-004,B03,B03-C13-S03,B03-C13-S03,they have sex,relationship_event,ENT-CHAR-0002,Margot Vance:participant,CH13-LOCAL-SEQUENCE,B03-C13-S03,they have sex,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; granularity-review, continuity-group-local"
N-EVT-B03-C13-S03-005,B03,B03-C13-S03,B03-C13-S03,the valve vents,narrative_action,ENT-CHAR-0002,Margot Vance:participant,CH13-LOCAL-SEQUENCE,B03-C13-S03,the valve vents,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; granularity-review, type-review, continuity-group-local"
N-EVT-B03-C13-S03-006,B03,B03-C13-S03,B03-C13-S03,they escape into the safety niche and continue,narrative_action,ENT-CHAR-0002,Margot Vance:participant,CH13-LOCAL-SEQUENCE,B03-C13-S03,they escape into the safety niche and continue,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C14-S01-001,B03,B03-C14-S01,B03-C14-S01,Margot climbs to the roof,movement,ENT-CHAR-0002,Margot Vance:participant,CH14-LOCAL-SEQUENCE,B03-C14-S01,Margot climbs to the roof,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; continuity-group-local
N-EVT-B03-C14-S01-002,B03,B03-C14-S01,B03-C14-S01,they observe a disciplined human-monster coalition in the square,narrative_action,ENT-CHAR-0002;ENT-GROUP-0005,Margot Vance:participant;Snowfall Creek Defense Coalition:participant,TOWN-HALL-UPRISING,B03-C14-S01,they observe a disciplined human-monster coalition in the square,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; type-review
N-EVT-B03-C14-S01-003,B03,B03-C14-S01,B03-C14-S01,Jonah spots snipers,discovery,ENT-CHAR-0002;ENT-CHAR-0001,Margot Vance:participant;Jonah Harrow:participant,JONAH-INJURY,B03-C14-S01,Jonah spots snipers,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; granularity-review
N-EVT-B03-C14-S01-004,B03,B03-C14-S01,B03-C14-S01,he proposes a skylight insertion,narrative_action,ENT-CHAR-0002,Margot Vance:participant,CH14-LOCAL-SEQUENCE,B03-C14-S01,he proposes a skylight insertion,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C14-S02-001,B03,B03-C14-S02,B03-C14-S02,Bridge crossing,movement,ENT-CHAR-0002,Margot Vance:participant,CH14-LOCAL-SEQUENCE,B03-C14-S02,Bridge crossing,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; granularity-review, continuity-group-local"
N-EVT-B03-C14-S02-002,B03,B03-C14-S02,B03-C14-S02,spotlight evasion,narrative_action,ENT-CHAR-0002,Margot Vance:participant,CH14-LOCAL-SEQUENCE,B03-C14-S02,spotlight evasion,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; granularity-review, type-review, continuity-group-local"
N-EVT-B03-C14-S02-003,B03,B03-C14-S02,B03-C14-S02,shotgun breach,narrative_action,ENT-CHAR-0002,Margot Vance:participant,CH14-LOCAL-SEQUENCE,B03-C14-S02,shotgun breach,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; granularity-review, type-review, continuity-group-local"
N-EVT-B03-C14-S02-004,B03,B03-C14-S02,B03-C14-S02,fall through skylight,narrative_action,ENT-CHAR-0002,Margot Vance:participant,CH14-LOCAL-SEQUENCE,B03-C14-S02,fall through skylight,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; granularity-review, type-review, continuity-group-local"
N-EVT-B03-C14-S02-005,B03,B03-C14-S02,B03-C14-S02,guards surrender under Jonah's Alpha command,narrative_action,ENT-CHAR-0002;ENT-CHAR-0001,Margot Vance:participant;Jonah Harrow:participant,JONAH-INJURY,B03-C14-S02,guards surrender under Jonah's Alpha command,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; type-review
N-EVT-B03-C14-S02-006,B03,B03-C14-S02,B03-C14-S02,Margot restrains them,narrative_action,ENT-CHAR-0002,Margot Vance:participant,CH14-LOCAL-SEQUENCE,B03-C14-S02,Margot restrains them,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; granularity-review, type-review, continuity-group-local"
N-EVT-B03-C14-S03-001,B03,B03-C14-S03,B03-C14-S03,Jonah breaches the office,movement,ENT-CHAR-0002;ENT-CHAR-0001,Margot Vance:participant;Jonah Harrow:participant,JONAH-INJURY,B03-C14-S03,Jonah breaches the office,scene-ledger-event-specific,candidate,scaled-reviewed-v1.0,Derived from author-ratified scene ledger major event; no remaining review flag.
N-EVT-B03-C14-S03-002,B03,B03-C14-S03,B03-C14-S03,Sterling defends the old order,narrative_action,ENT-CHAR-0002;ENT-CHAR-0009,Margot Vance:participant;Arthur Sterling:participant,FINAL-CONFRONTATION,B03-C14-S03,Sterling defends the old order,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; type-review
N-EVT-B03-C14-S03-003,B03,B03-C14-S03,B03-C14-S03,Margot reveals the original alliance and accuses Sterling's family of betrayal,disclosure,ENT-CHAR-0002;ENT-CHAR-0009,Margot Vance:participant;Arthur Sterling:participant,FOUNDING-TRUTH,B03-C14-S03,Margot reveals the original alliance and accuses Sterling's family of betrayal,scene-ledger-event-specific,candidate,scaled-reviewed-v1.0,Derived from author-ratified scene ledger major event; no remaining review flag.
N-EVT-B03-C14-S03-004,B03,B03-C14-S03,B03-C14-S03,Sterling shoots Jonah,physical_conflict,ENT-CHAR-0002;ENT-CHAR-0001;ENT-CHAR-0009,Margot Vance:participant;Jonah Harrow:participant;Arthur Sterling:participant,JONAH-INJURY,B03-C14-S03,Sterling shoots Jonah,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; granularity-review
N-EVT-B03-C14-S04-001,B03,B03-C14-S04,B03-C14-S04,Aleksei crashes through the window,narrative_action,ENT-CHAR-0002;ENT-CHAR-0004,Margot Vance:participant;Aleksei Petrov:participant,CH14-LOCAL-SEQUENCE,B03-C14-S04,Aleksei crashes through the window,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C14-S04-002,B03,B03-C14-S04,B03-C14-S04,he disables Sterling,physical_conflict,ENT-CHAR-0002;ENT-CHAR-0009,Margot Vance:participant;Arthur Sterling:participant,FINAL-CONFRONTATION,B03-C14-S04,he disables Sterling,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; granularity-review
N-EVT-B03-C14-S04-003,B03,B03-C14-S04,B03-C14-S04,Margot identifies the silver wound,discovery,ENT-CHAR-0002,Margot Vance:participant,JONAH-INJURY,B03-C14-S04,Margot identifies the silver wound,scene-ledger-event-specific,candidate,scaled-reviewed-v1.0,Derived from author-ratified scene ledger major event; no remaining review flag.
N-EVT-B03-C14-S04-004,B03,B03-C14-S04,B03-C14-S04,Jonah insists she address the town,narrative_action,ENT-CHAR-0002;ENT-CHAR-0001,Margot Vance:participant;Jonah Harrow:participant,JONAH-INJURY,B03-C14-S04,Jonah insists she address the town,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; type-review
N-EVT-B03-C14-S04-005,B03,B03-C14-S04,B03-C14-S04,she takes the microphone,narrative_action,ENT-CHAR-0002,Margot Vance:participant,CH14-LOCAL-SEQUENCE,B03-C14-S04,she takes the microphone,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C14-S05-001,B03,B03-C14-S05,B03-C14-S05,Margot broadcasts the truth,disclosure,ENT-CHAR-0002,Margot Vance:participant,TOWN-HALL-UPRISING,B03-C14-S05,Margot broadcasts the truth,scene-ledger-event-specific,candidate,scaled-reviewed-v1.0,Derived from author-ratified scene ledger major event; no remaining review flag.
N-EVT-B03-C14-S05-002,B03,B03-C14-S05,B03-C14-S05,humans and supernatural residents celebrate together,narrative_action,ENT-CHAR-0002,Margot Vance:participant,CH14-LOCAL-SEQUENCE,B03-C14-S05,humans and supernatural residents celebrate together,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; type-review, continuity-group-local"
N-EVT-B03-C14-S05-003,B03,B03-C14-S05,B03-C14-S05,Jonah briefly rallies,narrative_action,ENT-CHAR-0002;ENT-CHAR-0001,Margot Vance:participant;Jonah Harrow:participant,JONAH-INJURY,B03-C14-S05,Jonah briefly rallies,scene-ledger-event-specific,candidate,candidate-review-flagged,"Derived from author-ratified scene ledger major event; granularity-review, type-review"
N-EVT-B03-C14-S05-004,B03,B03-C14-S05,B03-C14-S05,Margot declares love,decision,ENT-CHAR-0002,Margot Vance:participant,RELATIONSHIP-ESCALATION,B03-C14-S05,Margot declares love,scene-ledger-event-specific,candidate,candidate-review-flagged,Derived from author-ratified scene ledger major event; granularity-review
