normalized_event_id,book_id,start_scene_id,end_scene_id,event_label,event_type,participant_entity_ids,participant_roles,continuity_group_id,source_span,source_quote,evidence_status,canonical_status,review_status,review_rationale
N-EVT-B03-C07-S01-001,B03,B03-C07-S01,B03-C07-S01,Margot and Jonah enter the Sonnet Glade's idealized wedding landscape,threshold_crossing,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0013,Margot:entrant;Jonah:entrant;Glade:environment,SONNET-GLADE,B03-C07-S01,They enter idealized wedding-like landscape,event-specific-candidate,candidate,scaled-batch-v1.0,Introduces a new genre-based trap.
N-EVT-B03-C07-S01-002,B03,B03-C07-S01,B03-C07-S01,The Glade creates idealized paper doubles of Margot and Jonah,manifestation,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0013,Margot:modeled;Jonah:modeled;Glade:creator,SONNET-GLADE,B03-C07-S01,paper doubles appear,event-specific-candidate,candidate,scaled-batch-v1.0,Externalizes the idealized romance script.
N-EVT-B03-C07-S01-003,B03,B03-C07-S01,B03-C07-S01,The Glade invites Jonah and Margot to merge with their idealized roles,coercive_offer,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0013,Margot:target;Jonah:target;Glade:coercer,SONNET-GLADE,B03-C07-S01,invites them to merge,event-specific-candidate,candidate,scaled-batch-v1.0,Creates assimilation threat.
N-EVT-B03-C07-S01-004,B03,B03-C07-S01,B03-C07-S01,The trap begins rewriting Margot into an idealized romantic role,identity_attack,ENT-CHAR-0002;ENT-LOC-0013,Margot:target;Glade:attacker,SONNET-GLADE,B03-C07-S01,begins rewriting Margot's role,event-specific-candidate,candidate,scaled-batch-v1.0,Introduces direct identity manipulation.
N-EVT-B03-C07-S02-001,B03,B03-C07-S02,B03-C07-S02,Jonah starts walking toward the paper version of Margot,psychological_capture,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0013,Jonah:captured;Margot:observer;Glade:mechanism,SONNET-GLADE,B03-C07-S02,Jonah begins walking toward paper Margot,event-specific-candidate,candidate,scaled-batch-v1.0,Shows Jonah surrendering to the false ending.
N-EVT-B03-C07-S02-002,B03,B03-C07-S02,B03-C07-S02,The Glade transforms Margot's clothing into a damsel costume,identity_attack,ENT-CHAR-0002;ENT-LOC-0013,Margot:target;Glade:attacker,SONNET-GLADE,B03-C07-S02,Margot's clothes transform,event-specific-candidate,candidate,scaled-batch-v1.0,Attempts to impose a role through physical rewriting.
N-EVT-B03-C07-S02-003,B03,B03-C07-S02,B03-C07-S02,Margot decides to break the romance script through comic subversion,tactical_decision,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0013,Margot:decision-maker;Jonah:beneficiary;Glade:target,SONNET-GLADE,B03-C07-S02,she plans comedic subversion,event-specific-candidate,candidate,scaled-batch-v1.0,Creates counter-strategy based on genre violation.
N-EVT-B03-C07-S03-001,B03,B03-C07-S03,B03-C07-S03,Margot flips and destroys the staged banquet table,tactical_action,ENT-CHAR-0002;ENT-LOC-0013,Margot:actor;Glade:target,SONNET-GLADE,B03-C07-S03,Table is destroyed,event-specific-candidate,candidate,scaled-batch-v1.0,Begins physical rejection of the false scene.
N-EVT-B03-C07-S03-002,B03,B03-C07-S03,B03-C07-S03,The Glade's wine turns into ink as the illusion destabilizes,environment_failure,ENT-LOC-0013;ENT-CHAR-0002;ENT-CHAR-0001,Glade:failing-system;Margot:witness;Jonah:witness,SONNET-GLADE,B03-C07-S03,wine becomes ink,event-specific-candidate,candidate,scaled-batch-v1.0,Evidence the script is breaking.
N-EVT-B03-C07-S03-003,B03,B03-C07-S03,B03-C07-S03,Margot decapitates her paper double,identity_rejection,ENT-CHAR-0002;ENT-LOC-0013,Margot:actor;paper-double:target;Glade:creator,SONNET-GLADE,B03-C07-S03,paper Margot is decapitated,event-specific-candidate,candidate,scaled-batch-v1.0,Explicitly rejects imposed identity.
